0,Cuidador 1
1,Cuidador 2
2,Cuidador 3
3,Cuidador 4
4,Cuidador 5
5,Cuidador 6
6,Empresa 1
7,Empresa 2
8,Escolta 1
9,Escolta 2
10,Estafeta1
11,Estafeta 2
12,Estafeta 3
13,Explotador 1
14,Explotador 2
15,Explotador 3
16,Funcionario 1
17,Funcionario 2 
18,Guia 1
19,Guia 2
20,Guia 3
21,Partícipe 1 
22,Partícipe 2
23,Partícipe 3
24,Raitero 1 
25,Raitero 2
26,Raitero 3
27,Raitero 4
28,Raitero 5
29,Reclutador 1
30,Reclutador 2
31,Reclutador 3
32,Victima reclutador 1 
33,Victima reclutador 2
